2025-04-27 16:00:21, root, CREATE, DATABASE, db10086
2025-04-27 20:02:41, root, SHOW, DATABASES, requested
2025-04-27 20:03:15, root, SHOW, DATABASES, requested
2025-04-27 20:03:50, root, USE, DATABASE, db10086
2025-04-30 20:34:11, root, Login, User, IP: 10.8.0.2
2025-05-04 23:19:41, root, Login, User, IP: 10.8.0.2
2025-05-15 12:10:31, root, Login, User, IP: 26.160.0.56
2025-05-15 12:10:44, root, USE, DATABASE, tii
2025-05-15 12:11:10, root, START, TRANSACTION, undo.txt
2025-05-15 12:11:10, root, START, TRANSACTION, Started transaction
2025-05-15 12:12:20, root, INSERT, TABLE, INSERT INTO tooo (name) VALUES ('sa')
2025-05-15 12:12:20, root, INSERT, DATA, Inserted values into tooo in tii
2025-05-15 12:12:20, root, ROLLBACK, TRANSACTION, undo.txt
2025-05-15 12:12:20, root, ROLLBACK, TRANSACTION, Rolled back transaction
2025-05-15 12:25:16, root, Login, User, IP: 26.160.0.56
2025-05-15 12:26:14, root, Login, User, IP: 26.160.0.56
